,account_value,date,daily_return,datadate
391,1760168.7497700022,2024-10-23,-0.0001621792776184,2024-10-23
392,1760141.584240002,2024-10-24,-1.543348045673909e-05,2024-10-24
393,1760141.584240002,2024-10-25,0.0,2024-10-25
394,1760141.584240002,2024-10-28,0.0,2024-10-28
395,1760141.584240002,2024-10-29,0.0,2024-10-29
396,1760141.584240002,2024-10-30,0.0,2024-10-30
397,1760141.584240002,2024-10-31,0.0,2024-10-31
398,1760141.584240002,2024-11-01,0.0,2024-11-01
399,1760143.145640002,2024-11-04,8.870877286071277e-07,2024-11-04
400,1760142.6549900025,2024-11-05,-2.7875573704871925e-07,2024-11-05
401,1760142.6549900025,2024-11-06,0.0,2024-11-06
402,1760142.6549900025,2024-11-07,0.0,2024-11-07
403,1760142.6549900025,2024-11-08,0.0,2024-11-08
404,1760142.6549900025,2024-11-11,0.0,2024-11-11
405,1760142.6549900025,2024-11-12,0.0,2024-11-12
406,1760142.6549900025,2024-11-13,0.0,2024-11-13
407,1760142.6549900025,2024-11-14,0.0,2024-11-14
408,1760142.6549900025,2024-11-15,0.0,2024-11-15
409,1760142.6549900025,2024-11-18,0.0,2024-11-18
410,1760142.6549900025,2024-11-19,0.0,2024-11-19
411,1760142.6549900025,2024-11-20,0.0,2024-11-20
412,1760142.6549900025,2024-11-21,0.0,2024-11-21
413,1760142.6549900025,2024-11-22,0.0,2024-11-22
414,1760142.6549900025,2024-11-25,0.0,2024-11-25
415,1760142.6549900025,2024-11-26,0.0,2024-11-26
416,1760142.6549900025,2024-11-27,0.0,2024-11-27
417,1760142.6549900025,2024-11-29,0.0,2024-11-29
418,1760142.6549900025,2024-12-02,0.0,2024-12-02
419,1760142.6549900025,2024-12-03,0.0,2024-12-03
420,1760142.6549900025,2024-12-04,0.0,2024-12-04
421,1760142.6549900025,2024-12-05,0.0,2024-12-05
422,1760142.6549900025,2024-12-06,0.0,2024-12-06
423,1760142.6549900025,2024-12-09,0.0,2024-12-09
424,1760142.6549900025,2024-12-10,0.0,2024-12-10
425,1760142.6549900025,2024-12-11,0.0,2024-12-11
